Date,Close,Volume,Open,High,Low
12/16/2024,$92.11 ,26748920,$92.39 ,$92.89 ,$91.95 
12/13/2024,$91.89 ,24858290,$91.68 ,$92.56 ,$90.96 
12/12/2024,$92.56 ,24861970,$93.34 ,$93.41 ,$92.26 
12/11/2024,$93.66 ,35016910,$92.47 ,$94.18 ,$92.31 
12/10/2024,$91.34 ,23885750,$91.38 ,$92.29 ,$90.96 
12/9/2024,$91.37 ,33500820,$92.80 ,$93.03 ,$90.26 
12/6/2024,$93.47 ,29553830,$91.52 ,$93.53 ,$91.27 
12/5/2024,$91.79 ,28353070,$91.79 ,$92.70 ,$91.11 
12/4/2024,$91.11 ,26896290,$89.81 ,$91.60 ,$89.81 
12/3/2024,$90.22 ,24016340,$89.44 ,$90.27 ,$88.80 
12/2/2024,$89.77 ,23889660,$88.75 ,$90.23 ,$88.41 
11/29/2024,$88.68 ,20272370,$88.22 ,$89.24 ,$87.67 
11/27/2024,$87.73 ,25782220,$87.21 ,$88.10 ,$85.89 
11/26/2024,$87.26 ,31382590,$86.75 ,$88.64 ,$86.73 
11/25/2024,$86.56 ,60142030,$90.21 ,$90.21 ,$86.42 
11/22/2024,$89.78 ,32140200,$89.60 ,$90.60 ,$89.30 
11/21/2024,$89.75 ,45112630,$88.39 ,$90.80 ,$87.72 
11/20/2024,$88.39 ,40938430,$88.00 ,$89.06 ,$86.84 
11/19/2024,$87.13 ,38142270,$83.98 ,$87.45 ,$83.92 
11/18/2024,$84.71 ,40840810,$81.55 ,$84.85 ,$80.93 
11/15/2024,$82.40 ,36737200,$83.20 ,$83.20 ,$81.65 
11/14/2024,$83.73 ,30382310,$83.37 ,$84.10 ,$83.00 
11/13/2024,$83.05 ,27677720,$82.26 ,$83.70 ,$82.05 
11/12/2024,$81.95 ,28140640,$80.75 ,$82.04 ,$80.38 
11/11/2024,$80.54 ,23991500,$79.59 ,$80.68 ,$79.56 
11/8/2024,$79.50 ,19106260,$79.74 ,$79.91 ,$78.87 
11/7/2024,$79.65 ,32950740,$78.14 ,$79.82 ,$77.99 
11/6/2024,$78.02 ,36908170,$77.15 ,$78.15 ,$75.74 
11/5/2024,$76.39 ,22006450,$75.74 ,$76.75 ,$75.63 
11/4/2024,$75.55 ,19021940,$75.31 ,$76.25 ,$74.97 
11/1/2024,$75.61 ,29968290,$75.35 ,$76.38 ,$74.78 
10/31/2024,$75.60 ,30577090,$75.39 ,$76.08 ,$75.22 
10/30/2024,$75.37 ,17220020,$75.81 ,$75.98 ,$75.23 
10/29/2024,$75.94 ,36604330,$75.11 ,$76.39 ,$74.80 
10/28/2024,$74.91 ,28624050,$75.87 ,$75.87 ,$74.79 
10/25/2024,$75.47 ,28194730,$75.62 ,$76.85 ,$75.35 
10/24/2024,$75.46 ,26429620,$75.20 ,$75.58 ,$74.63 
10/23/2024,$74.93 ,37490070,$76.28 ,$76.38 ,$74.43 
10/22/2024,$76.42 ,29872520,$76.53 ,$76.97 ,$76.11 
10/21/2024,$77.21 ,60570930,$76.58 ,$77.30 ,$75.66 
10/18/2024,$76.39 ,159741200,$73.76 ,$76.63 ,$73.62 
10/17/2024,$68.77 ,89266720,$70.44 ,$70.44 ,$67.79 
10/16/2024,$70.20 ,24942760,$70.34 ,$70.56 ,$69.78 
10/15/2024,$70.60 ,29327520,$71.25 ,$71.34 ,$69.98 
10/14/2024,$71.30 ,27970710,$72.50 ,$72.66 ,$71.13 
10/11/2024,$72.28 ,22995250,$73.49 ,$73.60 ,$72.12 
10/10/2024,$73.03 ,27678620,$72.33 ,$73.39 ,$72.25 
10/9/2024,$72.74 ,19810700,$71.93 ,$72.86 ,$71.89 
10/8/2024,$72.18 ,31874020,$70.39 ,$72.51 ,$70.35 
10/7/2024,$70.19 ,33605200,$71.48 ,$71.59 ,$69.64 
10/4/2024,$71.97 ,22301390,$71.33 ,$72.10 ,$70.88 
10/3/2024,$70.68 ,22564490,$70.43 ,$70.88 ,$70.00 
10/2/2024,$71.11 ,17581670,$70.61 ,$71.62 ,$70.47 
10/1/2024,$70.61 ,28134820,$71.36 ,$71.78 ,$69.86 
9/30/2024,$70.93 ,17115080,$70.70 ,$71.12 ,$70.28 
9/27/2024,$70.74 ,23956130,$70.84 ,$71.07 ,$70.13 
9/26/2024,$71.14 ,28329620,$72.47 ,$72.53 ,$70.17 
9/25/2024,$72.16 ,22597750,$72.10 ,$72.51 ,$71.62 
9/24/2024,$72.23 ,35657310,$70.66 ,$72.24 ,$70.45 
9/23/2024,$70.54 ,32243440,$70.24 ,$71.23 ,$69.92 
9/20/2024,$70.10 ,39980620,$70.56 ,$70.67 ,$69.63 
9/19/2024,$70.43 ,42284800,$70.50 ,$71.57 ,$69.54 
9/18/2024,$69.05 ,29844110,$70.76 ,$70.76 ,$68.80 
9/17/2024,$70.69 ,22986300,$70.08 ,$70.76 ,$69.84 
9/16/2024,$69.65 ,18437450,$70.00 ,$70.30 ,$68.86 
9/13/2024,$69.71 ,22764820,$68.00 ,$69.96 ,$68.00 
9/12/2024,$68.68 ,25884370,$68.49 ,$69.49 ,$68.22 
9/11/2024,$68.15 ,23919240,$67.75 ,$68.30 ,$66.08 
9/10/2024,$67.36 ,20791820,$67.69 ,$68.06 ,$66.58 
9/9/2024,$67.54 ,26831110,$67.40 ,$68.35 ,$67.21 
9/6/2024,$66.58 ,29912650,$68.19 ,$68.32 ,$66.23 
9/5/2024,$68.36 ,18100720,$67.31 ,$68.73 ,$67.19 
9/4/2024,$67.97 ,17853370,$67.33 ,$68.47 ,$67.31 
9/3/2024,$67.53 ,31609640,$70.01 ,$70.39 ,$67.10 
8/30/2024,$70.14 ,32667230,$70.04 ,$70.19 ,$68.82 
8/29/2024,$69.25 ,21869740,$69.00 ,$69.98 ,$68.61 
8/28/2024,$68.38 ,24305830,$69.58 ,$69.67 ,$67.71 
8/27/2024,$69.57 ,31648780,$68.85 ,$70.79 ,$68.69 
8/26/2024,$68.84 ,13541540,$68.73 ,$69.06 ,$68.16 
8/23/2024,$68.67 ,23544500,$69.41 ,$69.61 ,$67.86 
8/22/2024,$68.90 ,27293890,$69.10 ,$70.15 ,$68.62 
8/21/2024,$69.71 ,22353430,$69.70 ,$70.10 ,$69.14 
8/20/2024,$69.85 ,48131180,$68.89 ,$71.13 ,$68.82 
8/19/2024,$68.85 ,30162270,$67.41 ,$68.88 ,$67.29 
8/16/2024,$67.41 ,35110140,$66.94 ,$68.02 ,$66.54 
8/15/2024,$66.32 ,32101730,$66.85 ,$67.32 ,$65.98 
8/14/2024,$66.17 ,40143440,$64.87 ,$66.36 ,$64.87 
8/13/2024,$64.80 ,26395710,$63.86 ,$65.10 ,$63.55 
8/12/2024,$63.31 ,23317120,$63.10 ,$63.90 ,$62.71 
8/9/2024,$63.39 ,19808360,$62.30 ,$63.66 ,$62.30 
8/8/2024,$63.04 ,32835420,$62.20 ,$63.23 ,$61.60 
8/7/2024,$61.15 ,31877910,$61.61 ,$63.20 ,$61.06 
8/6/2024,$60.96 ,43190570,$60.06 ,$62.25 ,$60.06 
